NomeCandidato;NumeroUrna;QtdZonasVotado
PROF. ANGELA VENANCIO;65700;52
PROF. FRANCISCO COSTA;65345;35
PROF. MARCEL FERRADA;43320;55
PROF. MARCO PANIQUAR;23007;30
PROF. NIVALDO MOURA;44955;20
PROF. PIPOCA;23013;53
PROF. VALDINÉIA;50143;15
PROF. VANDA ROSA;44344;26
PROF.CELSO ARAUJO;23700;50
PROF.LÉIA;44228;29
PROFESSOR ARNALDO;31910;51
PROFESSOR CARLITO;50612;49
PROFESSOR CLEBER ARAUJO;19012;53
PROFESSOR CLÁUDIO;15059;54
PROFESSOR DIMITRI;50200;54
PROFESSOR EDSON QUEIROZ;50050;53
PROFESSOR EMERSON;31453;47
PROFESSOR EVERALDO;31110;47
PROFESSOR ISAIAS CORREIA RIBAS;43101;37
PROFESSOR MATIAS VIEIRA;13227;57
PROFESSOR MIGUEL;17013;19
PROFESSOR NASSER;70123;48
PROFESSOR PERU;19979;41
PROFESSORA BIA DO RUTH;15922;51
PROFESSORA FREIRE;31014;33
PROFESSORA IRENE;31016;52
PROFESSORA LEDINHA;31231;35
PROFESSORA MARGARIDA;10194;39
PROFESSORA MARIETTE;70555;22
PROFESSORA ROSIRIS;14900;50
PROFESSORA SONINHA;31015;41
PROFESSORA VIVIAN PIN;31789;36
PROFª ELIANE REIS;40008;53
PROFª MAJÔ;65303;23
PROFª MARIVALDA;13773;41
PROFª ROSANGELA RESENDE;23116;10
PROFª ZINHA;23137;47
PROFª. LUCY;10190;57
PROFª. MAFALDA;33563;46
PROFº EMERSON;65888;43
RAFAEL DE OLIVEIRA;27333;41
RAFAEL MARMO;50060;51
RAFAEL ONG;14012;43
RALFI;20888;52
RAUL FELIX;31009;25
REANOLFO;36100;43
REGIANE OLIVEIRA;36909;10
REGINA LAURA;43043;56
REGIS;70200;30
REGIS DO FORRÓ;44150;22
REJANE DIAS;14011;50
RENATO BORGIANI;31758;43
RG RICARDO GOMES;25888;56
RIBAMAR;23400;36
RICARDINHO DA COHABE;17167;48
RICARDO BUNDUKY;40040;47
RICARDO DOS PROJETOS;70973;15
RICARDO GIANNICO;22321;54
RICARDO NICASTRO;40087;46
RICARDO OKADA;44001;28
RICARDO REI;50800;44
RICHARD;23180;39
RICHARD ARAÚJO;16009;14
RINALDO VIANA;20190;44
RITA XT;13177;54
RIVER;23258;56
ROBERTA NININ;13413;35
ROBERTO AVELINO;19319;26
ROBERTO MAGUILA DO BRAS;70667;42
ROBERTO REIS ( CACO);70300;34
ROBERTO VENTURA;28828;32
ROBSON PASTEL;14007;52
ROCHA DA PENHA;70015;36
RODNEI MACHADO;31100;56
ROGER PROFESSOR E SOCIALISTA;16001;50
ROGERIO LOPES;10300;57
ROGÉRIO FREIHAT;65533;30
ROGÉRIO MARQUES;14477;53
ROGÉRIO RODRIGUES;20400;52
ROMEL GIMENES;13668;44
RONY PETERSON;28848;54
ROQUE JORGE;65188;35
ROSA LIA;15014;10
ROSA MARIA;28829;9
ROSA RIBEIRO;70377;17
ROSANGELA MELLO;31287;54
ROSATTO;14999;49
ROSE ALEIXO;13725;24
ROSE DO LIMÃO;33127;27
ROSEMERI MARCONDES;27014;33
ROSSANO LIPPI;19998;49
ROSÂNGELA ZANON;54999;7
ROVERE;20193;20
ROZUYTA;54144;22
RUBENITO;19123;40
RUBENS ITO;12790;41
RUBENS PROENÇA;50500;57
RUBINHO DO POVO;65640;34
RUTH ROCHA;36896;23
SAITO SAN;31004;55
SANDRA HAINE;31321;42
SANDRA PANDOLFI;43040;52
SANDRO ALVES;50333;27
SANDRO LIMA DA SAÚDE;12192;42
SARGENTO MAURICIO DE SOUZA;31112;38
SAUDE ABEL;12666;51
SERGINHO DA LAN HOUSE;19130;41
SERGIO KOEI;16002;37
SERGIO OLIVASTRO;23234;49
SERGIO OLIVEIRA;12193;56
SERGIO TERRA;23363;49
SEU JORGE 'MARTINHO DA VILA';43634;50
SEU MADRUGA;20631;47
SGT MENDES;50151;10
SIDERAL;54500;49
SIDNEI DA ROCHA CUPIDO;43734;28
SIDNEI SILVA;23111;57
SILAS VAZ;19009;37
SILVANA;44147;25
SILVIA CRISTINA;36117;12
SILVINHO PARA VEREADOR DO POVO;31124;24
SILVIO CAMBAÚVA;11117;40
SILVIO CICA TRAVASSOS;31999;36
SIMONE GOMES;31068;21
SIMONE HIEDA;20033;19
SINIR BENTO;54123;46
SOFIA Y.;50882;7
SOL;14567;45
SONIA MONTENEGRO;50009;43
SONINHA DE JESUS;23692;48
SONRISAL;31211;46
SOSTENES BARBOSA;65789;57
STEFANUS TETÉU;44048;43
STELA MARIS;23654;41
STEVE HWANG;19888;41
SU SAAD;31310;52
SUELI AMORIM;11112;52
SUELI DA PAZ;31017;25
SYDARA;15325;29
SÉRGIO GIM;15051;40
TAINAH BENTO VIDAL;50885;32
TAKARA;43026;55
TANIA MIRANDA;23069;27
TAVOLIERI;14300;56
TECA MARQUES;27477;37
TEREZA R. SOUZA;43061;34
TEREZINHA;65147;14
TESTA;40651;22
THAIS HORTA;43377;57
THIAGO ARIKAWA;15651;56
TIA TELMA;28855;33
TIAGO BERNARDO;19069;38
TIO ARCANOS;50368;28
TIO PEÇAS ( LAILSON );17017;46
TIRRIM;14153;38
TIÃOZINHO FORÇA JOVEM;27576;34
TONHÃO SOM DE CRISTAL;12510;40
TONINHO CURUÇÁ;19017;26
TONINHO DELPPEM;33162;18
TONINHO FRANCISCO;70888;23
TOTÓ;33300;15
TRANQUILLO MORTELE;29329;56
TUNA;65444;47
TÂMIDE SZULKIN;11456;52
VALDETINO QUEIROZ;65151;25
VALDIR SAMPELL;23267;41
VALDIR TIMOTEO;44100;53
VALERIA DOMINGOS;27026;16
VALMIR MOTORISTA LOBO;43235;45
VALMIR É FIEL;65017;40
VALTER LIMA;43070;50
VALTER TOMAZ;44005;55
VALÉRIA LEÃO;65010;36
VALÉRIA MAURÍCIO;50413;23
VANDA MARIA;19707;2
VANDERLEI MACHADO;14611;48
VANIA PLACIDO;44054;26
VAPAM RUANA;28820;17
VARGAS NETO;44077;27
VARGNER DO REPÚDIO;15568;44
VERA;19194;23
VERA ANGELO;23150;16
VERA DIAS;23112;47
VERA DONDA;12311;20
VERA GOULART;13713;49
VERA LINS;14031;42
VERA LUCIA;14027;43
VERA MOREIRA;13171;28
VERA VIEIRA;65315;6
VERGUEIRO;70008;23
VICENTE DO ESTACIONAMENTO;23154;50
VICENTE VISCOME;44700;57
VILMAR TEIXEIRA;27778;32
VILSON ANTONIO;16003;12
VINICÍUS MOREIRA;14514;52
VIRA LATA;10520;53
VITAL BALAIO;14030;48
VITOR DO TAXI;43603;36
VITOR RODRIGUEZ DE ARAUJO;70234;39
VITÓRIO QUEIROZ;50018;44
VIVI D'AGOSTINO;55855;48
VIVIANE DINIZ;50887;8
VIVIANI FERRAZ;22626;55
VLADIMIR SOUZA;44999;39
